finger1_ShoulderJoint finger2_ShoulderJoint finger3_ShoulderJoint brick_translate_y_joint  finger1_ElbowJoint finger2_ElbowJoint finger3_ElbowJoint brick_translate_z_joint brick_revolute_x_joint
     -0.550089676041783604    -0.65594285837027610508    -0.66145782473504466381  -0.0030306616435550161673    -0.30334857014322857971    -0.36063927197977307948    -0.36461356345328421735   0.0077336414340698931766    -0.28016377206896087015
   -0.43428274086990759084    -0.65580539630954914898    -0.64417683497145927785 -0.00042259580756848869965    -0.24410626511821792439     -0.3726887519538027993    -0.35577281977132541035   0.0068291687082377566798    -0.31434173117251956731
   -0.44715434444906132505    -0.66389387357878304474    -0.61596890236032353361   0.0038163494740814781978    -0.25749627354319515327     -0.3803025296592146276    -0.34568948005271088464   0.0055430250975880427169    -0.36643178390791236732
   -0.46002163478045521305     -0.6743346984663255439    -0.58731565964763565724   0.0083829915232524754298    -0.27088627855827834834    -0.38901167768837319194    -0.33508680066959550814   0.0041978426590072196942    -0.41755071775945512558
   -0.47288956613003813034    -0.68715520386983364176     -0.5581914772007775527    0.013272811595408271976     -0.2842779091738069086    -0.39880647444833472459    -0.32393918676504462884   0.0027895575777092031927     -0.4675119238978312497
   -0.48575817605189786086    -0.70239074461940187444    -0.52855487880150797686    0.018481068271266727632    -0.29766453468957682071    -0.40966364805161969986    -0.31221104681589612051   0.0013127445608898302611      -0.516082450662230241
   -0.49862703410839026574    -0.72009141748564586827    -0.49833200190828108589    0.024005795222933591637    -0.31105263373636110602    -0.42156263110302089059    -0.29984812923435899545 -0.00023989099795104009165    -0.56299741740325615069
   -0.51149563221946059421    -0.74031929596585077658    -0.46744038772499230117    0.029844180034851775646    -0.32444180140887396435    -0.43447047605440647366    -0.28677813607408886298  -0.0018759794438431513092     -0.6079131275192120043
   -0.61114528992690708709    -0.69989972933432331725    -0.54165936347082599411    0.015781433897555170037    -0.36349500672909357268    -0.39375528840853202261    -0.32293725229758568629   0.0022029820176598003019    -0.49221690329175010747
  -0.61114528992690708709   -0.69989972933432331725   -0.54165936347082599411   0.015781433897555170037   -0.36349500672909357268   -0.39375528840853202261   -0.32293725229758568629  0.0022029820176598003019   -0.49221690329175010747
  -0.54685983949235461576   -0.61830067525307819132   -0.45328052664472895383   0.015277661965093990507   -0.52580481711634574626   -0.56452550999107287133   -0.49580666354512531457  0.0016866262018823325632   -0.42374880437404122135
  -0.49712310012621496735   -0.54605771704740391215   -0.37424965016337685686   0.014255215652142549931   -0.69006084973292469709   -0.73193315453806251369   -0.66733094136021264831  0.0010528556057806726966   -0.32136644318579538071
  -0.47372834603184832414   -0.49065414442575172593   -0.31674231712455591659    0.01207804829120101911   -0.85406338093482014884   -0.88913343934912036914   -0.83542070893449671409 0.00038640158370606110874   -0.17030089019420757701
  -0.51240983381021276699   -0.47973349759429823047   -0.32204679588914669752  0.0071826805987189540695   -0.99861965687332043817      -1.00414335419531775   -0.98350557303637609063 0.00020640492163153542301    0.07225487215471458613
  -0.64193433456679260818   -0.56844536480798302236   -0.44823390294295462066 0.00041789566285129018264     -1.013587352226796634   -0.96130137637582147025    -1.0111943541355852272   0.001733187778035720451    0.36410719942601632582
  -0.76341813914105705052   -0.68457423701704533947   -0.58548275436272501082 -0.0035860522142969809313   -0.92749212252614610108    -0.8266698286171016985   -0.94100332274948583766  0.0034322040248248538753    0.55498064790484757935
  -0.76341813914105705052   -0.68457423701704533947   -0.58548275436272501082 -0.0035860522142969809313   -0.92749212252614610108    -0.8266698286171016985   -0.94100332274948583766  0.0034322040248248538753    0.55498064790484757935
  -0.87754125612050126737   -0.60295551025558002944   -0.57912399965593197582  -0.026099077354294092368    -1.0378951502147280017   -0.80257515889082653437   -0.99560016708469667446 0.00087369880571084885135     0.7363416373572925222
  -0.89711236024008356171   -0.62090487972358376911   -0.49890182347067496549  -0.028544610625432054879    -1.0352810711598554594   -0.75945329538634032129   -0.91153127169791725581  0.0012433813568610090593    0.76950104196306201576
  -0.89637769959341218051   -0.66349969636373085091   -0.43274855581118149006  -0.026185437893744594601    -1.0067536453516612305   -0.71676883238340549642   -0.81722560334095251111  0.0021944385589009601789    0.77760462039294664383
   -0.8732779107826006415   -0.73252415902462630903   -0.39284219258213615156  -0.018246642681794635055   -0.94705604910668172991   -0.67432227010435363823   -0.71749255935146116769  0.0038115142874965515264    0.75066254703083090671
  -0.85017899276349273574   -0.80110965823592628077   -0.36512210252707993918 -0.0099123550792836676027   -0.88164919352722648238   -0.62885902380932234834    -0.6225810803136246907  0.0054430592626543549545    0.71113057593601636253
  -0.83109161325560121369   -0.86489755412009272639   -0.33740124672180754617 -0.0022854214170889460001   -0.81624855670765306126   -0.57914526239259644935   -0.52766674588629336462   0.006993642200036974399    0.66673388927239485291
   -0.7973748252058818764   -0.92904734636521624225   -0.44318845653829747055    0.00880014554356555595   -0.72134465556898952343   -0.53729315557052859109   -0.51179838102055474902  0.0089040632159446582439    0.56876714398600058953
  -0.7973748252058818764  -0.92904734636521624225  -0.44318845653829747055   0.00880014554356555595  -0.72134465556898952343  -0.53729315557052859109  -0.51179838102055474902 0.0089040632159446582439   0.56876714398600058953
 -0.69682584842086192634   -1.0337938779907400733  -0.39465737767630865163  0.015916677209407956856  -0.74540654913137915916  -0.68077300644743110603   -0.5481790350773730891  0.012805260344171159187   0.45495532305545571816
