finger1_BaseJoint finger2_BaseJoint finger3_BaseJoint brick_revolute_x_joint finger1_MidJoint finger2_MidJoint finger3_MidJoint brick_translate_y_joint brick_translate_z_joint
0.76601 0.6771 0.24098 -0.64134 -1.0911 -0.74908 0.20349 0 0
0.76837 0.67997 0.23307 -0.63195 -1.1006 -0.76009 0.26065 0 0
0.77074 0.68284 0.22517 -0.62256 -1.1101 -0.77111 0.31781 0 0
0.7731 0.6857 0.21726 -0.61317 -1.1195 -0.78212 0.37497 0 0
0.77547 0.68857 0.20936 -0.60378 -1.129 -0.79314 0.43214 0 0
0.77778 0.69129 0.18441 -0.59321 -1.1393 -0.8046 0.48066 0 0
0.7801 0.69402 0.15947 -0.58263 -1.1496 -0.81606 0.52918 0 0
0.78241 0.69675 0.13452 -0.57206 -1.1599 -0.82753 0.5777 0 0
0.78473 0.69947 0.10957 -0.56149 -1.1701 -0.83899 0.62622 0 0
0.78678 0.70184 0.083184 -0.55034 -1.1805 -0.85014 0.67393 0 0
0.78882 0.7042 0.056795 -0.53919 -1.191 -0.86129 0.72163 0 0
0.79087 0.70656 0.030406 -0.52804 -1.2014 -0.87244 0.76934 0 0
0.79291 0.70892 0.0040176 -0.51689 -1.2118 -0.88359 0.81705 0 0
0.79463 0.7109 -0.024673 -0.50509 -1.2223 -0.89445 0.86332 0 0
0.79634 0.71288 -0.053363 -0.49329 -1.2329 -0.90531 0.9096 0 0
0.79806 0.71486 -0.082053 -0.4815 -1.2434 -0.91618 0.95588 0 0
0.79978 0.71684 -0.11074 -0.4697 -1.254 -0.92704 1.0022 0 0
0.80109 0.71841 -0.14257 -0.4572 -1.2647 -0.93761 1.0462 0 0
0.8024 0.71997 -0.17439 -0.44471 -1.2753 -0.94818 1.0903 0 0
0.80371 0.72154 -0.20622 -0.43222 -1.286 -0.95875 1.1344 0 0
0.80502 0.72311 -0.23804 -0.41972 -1.2966 -0.96932 1.1785 0 0
0.80582 0.72422 -0.2742 -0.40651 -1.3074 -0.97956 1.219 0 0
0.80663 0.72534 -0.31037 -0.3933 -1.3181 -0.9898 1.2595 0 0
0.80744 0.72645 -0.34653 -0.38009 -1.3288 -1 1.3001 0 0
0.80824 0.72756 -0.3827 -0.36688 -1.3395 -1.0103 1.3406 0 0
0.80843 0.72818 -0.4249 -0.35313 -1.35 -1.02 1.3749 0 0
0.80862 0.72879 -0.4671 -0.33937 -1.3605 -1.0297 1.4093 0 0
0.80881 0.7294 -0.50929 -0.32561 -1.371 -1.0395 1.4437 0 0
0.809 0.73002 -0.55149 -0.31186 -1.3816 -1.0492 1.4781 0 0
0.80854 0.73012 -0.60167 -0.29851 -1.3911 -1.0578 1.501 0 0
0.80807 0.73021 -0.65184 -0.28517 -1.4007 -1.0664 1.524 0 0
0.8076 0.73031 -0.70201 -0.27183 -1.4103 -1.075 1.547 0 0
0.80714 0.73041 -0.75219 -0.25848 -1.4199 -1.0836 1.57 0 0
0.8076 0.73032 -0.83219 -0.27153 -1.4105 -1.0752 1.5556 0 0
0.80806 0.73023 -0.9122 -0.28458 -1.4012 -1.0668 1.5412 0 0
0.80853 0.73014 -0.9922 -0.29763 -1.3918 -1.0584 1.5268 0 0
0.80899 0.73004 -1.0722 -0.31068 -1.3824 -1.05 1.5125 0 0
0.80848 0.72894 -1.0609 -0.33123 -1.3665 -1.0351 1.4802 0 0
0.80797 0.72784 -1.0495 -0.35178 -1.3506 -1.0203 1.4479 0 0
0.80746 0.72674 -1.0382 -0.37233 -1.3346 -1.0054 1.4156 0 0
0.80696 0.72564 -1.0269 -0.39288 -1.3187 -0.99059 1.3833 0 0
0.80525 0.72354 -1.0098 -0.41136 -1.3031 -0.97533 1.353 0 0
0.80355 0.72145 -0.99273 -0.42985 -1.2876 -0.96008 1.3227 0 0
0.80184 0.71935 -0.97568 -0.44834 -1.272 -0.94482 1.2924 0 0
0.80014 0.71726 -0.95862 -0.46683 -1.2565 -0.92956 1.2621 0 0
0.7975 0.71421 -0.94156 -0.48417 -1.2409 -0.91336 1.2318 0 0
0.79485 0.71117 -0.9245 -0.5015 -1.2252 -0.89716 1.2015 0 0
0.79221 0.70813 -0.90743 -0.51884 -1.2096 -0.88095 1.1713 0 0
0.78957 0.70508 -0.89037 -0.53617 -1.194 -0.86475 1.141 0 0
0.78621 0.70115 -0.87331 -0.55237 -1.1784 -0.84764 1.1107 0 0
0.78285 0.69722 -0.85626 -0.56856 -1.1629 -0.83053 1.0804 0 0
0.77949 0.69329 -0.8392 -0.58476 -1.1474 -0.81342 1.0501 0 0
0.77613 0.68936 -0.82214 -0.60095 -1.1318 -0.79631 1.0198 0 0
0.77242 0.68483 -0.79167 -0.61535 -1.1172 -0.77917 0.99454 0 0
0.76871 0.6803 -0.7612 -0.62974 -1.1026 -0.76203 0.96928 0 0
0.765 0.67578 -0.73073 -0.64413 -1.0879 -0.74489 0.94402 0 0
0.76129 0.67125 -0.70027 -0.65852 -1.0733 -0.72775 0.91875 0 0
0.76129 0.67125 -0.70027 -0.65852 -1.0733 -0.72775 0.91875 0 0
0.75752 0.69832 -0.70187 -0.67099 -1.06 -0.74335 0.92901 0 0
0.75376 0.72538 -0.70347 -0.68345 -1.0467 -0.75894 0.93927 0 0
0.74999 0.75245 -0.70507 -0.69592 -1.0333 -0.77453 0.94952 0 0
0.74622 0.77952 -0.70667 -0.70838 -1.02 -0.79012 0.95978 0 0
