finger1_BaseJoint finger2_BaseJoint finger3_BaseJoint brick_translate_y_joint finger1_MidJoint finger2_MidJoint finger3_MidJoint brick_translate_z_joint brick_revolute_x_joint
-0.7215907541256452 0.717028647533615 0.2865748457374216 -0.00853645415347704 1.1391556230242965 -1.363699011235224 -0.30389879955861243 0.037589689080274054 0.35879774282006216
-0.7068040713115554 0.7326862819569918 0.28331675151080266 -0.006909341424815294 1.1252687408780315 -1.367513476574937 -0.30371583933412516 0.03728471840805144 0.340439571126
-0.6920173884974656 0.7483439163803687 0.2800586572841838 -0.005282228696153548 1.1113818587317668 -1.3713279419146498 -0.3035328791096379 0.03697974773582883 0.3220813994319378
-0.6772307056833757 0.7640015508037454 0.27680056305756484 -0.0036551159674918015 1.0974949765855018 -1.3751424072543628 -0.30334991888515056 0.036674777063606216 0.3037232277378757
-0.6624440228692859 0.7796591852271223 0.2735424688309459 -0.002028003238830055 1.0836080944392368 -1.3789568725940757 -0.3031669586606633 0.036369806391383604 0.2853650560438135
-0.6624440228692859 0.7796591852271223 0.2735424688309459 -0.002028003238830055 1.0836080944392368 -1.3789568725940757 -0.3031669586606633 0.036369806391383604 0.2853650560438135
-0.6465274304427067 0.7942898587606553 0.2697992923837531 -0.00039553275768635147 1.0668021957300764 -1.38069085865065 -0.3026828444405666 0.03601042524077849 0.2672946088807544
-0.6306108380161273 0.8089205322941881 0.26605611593656037 0.0012369377234573522 1.049996297020916 -1.3824248447072247 -0.30219873022046995 0.03565104409017339 0.2492241617176953
-0.6146942455895479 0.8235512058277211 0.2623129394893676 0.002869408204601056 1.0331903983117556 -1.3841588307637993 -0.30171461600037325 0.03529166293956828 0.23115371455463618
-0.5987776531629686 0.8381818793612541 0.2585697630421748 0.0045018786857447595 1.0163844996025952 -1.3858928168203737 -0.30123050178027655 0.03493228178896317 0.21308326739157707
-0.5987776531629686 0.8381818793612541 0.2585697630421748 0.0045018786857447595 1.0163844996025952 -1.3858928168203737 -0.30123050178027655 0.03493228178896317 0.21308326739157707
-0.582323583247526 0.8512246862183365 0.25448647942544234 0.006060016980816657 0.9971640961858015 -1.3858931242601744 -0.30038421249639385 0.03454491969005518 0.19619094023648453
-0.5658695133320832 0.8642674930754188 0.25040319580870984 0.007618155275888555 0.9779436927690077 -1.385893431699975 -0.29953792321251116 0.03415755759114719 0.17929861308139197
-0.5494154434166406 0.8773102999325012 0.2463199121919774 0.009176293570960451 0.9587232893522141 -1.3858937391397754 -0.2986916339286285 0.033770195492239204 0.1624062859262994
-0.532961373501198 0.8903531067895836 0.24223662857524492 0.01073443186603235 0.9395028859354203 -1.3858940465795762 -0.2978453446447458 0.033382833393331215 0.14551395877120687
-0.532961373501198 0.8903531067895836 0.24223662857524492 0.01073443186603235 0.9395028859354203 -1.3858940465795762 -0.2978453446447458 0.033382833393331215 0.14551395877120687
-0.5165107001898303 0.90154696944072 0.23799627021250408 0.012159557375714813 0.9185710508801942 -1.3846454409594575 -0.2966074127924199 0.032994515896052685 0.13036525584352068
-0.5000600268784624 0.9127408320918564 0.23375591184976324 0.013584682885397277 0.897639215824968 -1.3833968353393389 -0.29536948094009396 0.032606198398774155 0.11521655291583449
-0.48360935356709467 0.923934694742993 0.22951555348702238 0.015009808395079741 0.8767073807697419 -1.3821482297192205 -0.29413154908776806 0.032217880901495626 0.10006784998814829
-0.4671586802557269 0.9351285573941294 0.22527519512428154 0.016434933904762205 0.8557755457145158 -1.3808996240991018 -0.29289361723544216 0.031829563404217096 0.0849191470604621
-0.4671586802557269 0.9351285573941294 0.22527519512428154 0.016434933904762205 0.8557755457145158 -1.3808996240991018 -0.29289361723544216 0.031829563404217096 0.0849191470604621
-0.45110528409378237 0.94446309807063 0.22104192960759117 0.01769541960471234 0.8338351487567511 -1.378861493720151 -0.29125206685093336 0.03146137918784377 0.07173055499495042
-0.4350518879318379 0.9537976387471307 0.21680866409090077 0.01895590530466247 0.8118947517989865 -1.3768233633412001 -0.28961051646642455 0.031093194971470447 0.05854196292943874
-0.41899849176989346 0.9631321794236314 0.2125753985742104 0.020216391004612602 0.7899543548412219 -1.3747852329622494 -0.2879689660819157 0.03072501075509712 0.04535337086392706
-0.40294509560794894 0.972466720100132 0.20834213305752003 0.021476876704562737 0.7680139578834573 -1.3727471025832987 -0.2863274156974069 0.030356826538723798 0.03216477879841538
-0.40294509560794894 0.972466720100132 0.20834213305752003 0.021476876704562737 0.7680139578834573 -1.3727471025832987 -0.2863274156974069 0.030356826538723798 0.03216477879841538
-0.4162468901914632 0.9710208474921659 0.14293284413276047 0.02124873190664757 0.6109343252039676 -1.3752400354035161 -0.15542772179783215 0.030580411104525806 0.03458950043052701
-0.42954868477497743 0.9695749748841997 0.07752355520800094 0.021020587108732405 0.45385469252447797 -1.3777329682237336 -0.02452802789825742 0.030803995670327818 0.03701422206263865
-0.44285047935849164 0.9681291022762336 0.012114266283241415 0.020792442310817238 0.2967750598449883 -1.380225901043951 0.10637166600131731 0.03102758023612983 0.03943894369475029
-0.4561522739420059 0.9666832296682675 -0.05329502264151813 0.02056429751290207 0.13969542716549865 -1.3827188338641685 0.23727135990089204 0.03125116480193184 0.04186366532686192
-0.4561522739420059 0.9666832296682675 -0.05329502264151813 0.02056429751290207 0.13969542716549865 -1.3827188338641685 0.23727135990089204 0.03125116480193184 0.04186366532686192
-0.3565746093491898 0.9666819340168294 -0.05329373225574696 0.020564252262872954 -0.017384205513991002 -1.382715833517077 0.2372703525258761 0.03125111559545995 0.041861942578946224
