finger1_BaseJoint finger1_MidJoint finger2_BaseJoint finger2_MidJoint finger3_BaseJoint finger3_MidJoint brick_translate_y_joint brick_translate_z_joint brick_revolute_x_joint
0.010091849762548959699 0.0640839648861033645 0.30405993360620148236 -0.15969730167763801498 0.13790266202938181173 0.13399716860619964587 0.0088672981313271271447 -0.0051292164953195057073 -0.22867301457631494799
0.010091849762548959699 0.0640839648861033645 0.30405993360620148236 -0.15969730167763801498 0.13790266202938181173 0.13399716860619964587 0.0088672981313271271447 -0.0051292164953195057073 -0.22867301457631494799
-0.0051349117718733888055 0.062791675252547057839 0.4114305251444534961 -0.11618585016570186219 0.086788170558613791927 0.11793018658730744508 0.024257828377647821377 -0.01062277060490549388 -0.39348058744417629962
0.048663692482033372999 0.087273877834949026289 0.39342282939200085012 -0.12259637359760740261 0.096570360396953089377 0.12242171095960055482 0.021520433199236171234 -0.0097519023891988482894 -0.36810792328529484685
0.10246611298060838424 0.11175572919657957016 0.37557073145726671548 -0.12889832769756098818 0.1056030227788911785 0.12653978151854206047 0.018882383761341169776 -0.008880048326966314895 -0.34225829806807944733
0.15580924452942740421 0.13595189510159094715 0.35703571888458973671 -0.13543896978452782398 0.11427917483066789284 0.13041308642463619871 0.016224598686702972061 -0.00796354649511084485 -0.3146927113482731464
0.19253696880338050379 0.1516749216634702413 0.33177338887038854143 -0.14476628335450072993 0.12520460624719789711 0.13448472712669387596 0.012722856899907760558 -0.0066831634539141586415 -0.27574831639783486947
0.21395987011621250828 0.15966871390823997312 0.30149447587867195253 -0.15607948850012431929 0.13650028302432887228 0.13794742938272400168 0.0087517912543795192692 -0.005109237862864227965 -0.22733670959810658996
0.23538604354597592039 0.16766000833093386291 0.27163583177852135275 -0.16708162926257921765 0.14536045790185417315 0.14021501481267592548 0.0051083618056706279337 -0.0035198604047035719593 -0.17799054713100020964
0.25681371072551673063 0.17565299950041343702 0.2422211804173552141 -0.17775605455839013636 0.15176412256375781951 0.14129187731242079384 0.0017994032077424035581 -0.0019166557791301455649 -0.12786544558720994158
0.15040239774883312762 0.12420601252589395791 0.21517863322732841413 -0.18923682987241843834 0.15697903049078776316 0.13811064863020561244 -0.0010467047098264531217 -0.00035635372003393976084 -0.079300239592087831686
0.15040239774883312762 0.12420601252589395791 0.21517863322732841413 -0.18923682987241843834 0.15697903049078776316 0.13811064863020561244 -0.0010467047098264531217 -0.00035635372003393976084 -0.079300239592087831686
0.080678898778735019803 0.26054913902954901506 0.26282879793985847172 -0.31115894860358578322 0.071285017661870397898 0.30080207845546153012 -0.00065985943060068742976 -0.00027566591093459768885 -0.046237959424673055753
0.0065401544124881333397 0.39202206166907704876 0.30394259979471427435 -0.43279821560146114479 -0.019997632029987083557 0.45809128286145789355 -8.3872098301356284942e-05 -0.0002467899464150820712 0.010227417474641451942
-0.072389041280994104177 0.51556447017074202854 0.33549174837169859487 -0.55265166727366166199 -0.11877363413658779956 0.60634448948255659229 0.00077065269269880015517 -0.00018148908159495657729 0.094139486974188502089
-0.15679835592036911462 0.62398235221854636556 0.35099205378123377042 -0.6665841770148477341 -0.22856082626179652362 0.7374998076116030532 0.002074750959500117585 5.1362822576384225485e-05 0.21521236477349678373
-0.24566100375420521496 0.6926929163896627939 0.33257202208001779287 -0.75695600675177754368 -0.35383199552658306519 0.82623463085434589726 0.0041909197428481393191 0.00061404636391206685823 0.3994952029035719332
